mjd	field
63339.16666707245	COSMOS
63339.16666707245	COSMOS
63348.98611151804	COSMOS
63349.986111518156	COSMOS
63356.000000407745	COSMOS
63360.986111519436	COSMOS
63367.08333374237	COSMOS
63372.97222263194	COSMOS
63378.97222263264	COSMOS
59858.36111111168	ECDFS
59865.30555555693	ECDFS
59867.125000001586	ECDFS
59873.27777778008	ECDFS
59880.263888892005	ECDFS
59886.333333337156	ECDFS
59894.05555556028	ECDFS
59900.20833333877	ECDFS
59905.19444445046	ECDFS
59911.18055556227	ECDFS
59916.29166667398	ECDFS
59917.30555556298	ECDFS
59924.05555556377	ECDFS
59931.083333342365	ECDFS
59937.06944445417	ECDFS
59944.222222232784	ECDFS
59947.08333334423	ECDFS
59954.06944445615	ECDFS
59960.06944445685	ECDFS
59965.05555556854	ECDFS
59971.138888902584	ECDFS
59977.06944445883	ECDFS
59984.055555570754	ECDFS
59989.041666682446	ECDFS
59995.041666683144	ECDFS
60000.041666683726	ECDFS
60000.041666683726	ECDFS
60143.41666670042	ECDFS
60149.416666701116	ECDFS
60155.416666701814	ECDFS
60162.40277781374	ECDFS
60165.40277781409	ECDFS
60171.40277781479	ECDFS
60177.402777815485	ECDFS
60183.38888892729	ECDFS
60190.36111115033	ECDFS
60194.23611115078	ECDFS
60200.38888892927	ECDFS
60207.361111152306	ECDFS
60213.375000041895	ECDFS
60214.37500004201	ECDFS
60221.15277782058	ECDFS
60228.30555559919	ECDFS
60235.29166671111	ECDFS
60242.3333333786	ECDFS
60242.34722226749	ECDFS
60249.083333379385	ECDFS
60261.22222226969	ECDFS
60266.20833338138	ECDFS
60272.3194444932	ECDFS
60278.05555560498	ECDFS
60285.15277782803	ECDFS
60292.09722227328	ECDFS
60299.25000005189	ECDFS
60302.111111163336	ECDFS
60309.08333338637	ECDFS
60315.06944449818	ECDFS
60320.06944449876	ECDFS
60326.18055561058	ECDFS
60331.06944450004	ECDFS
60338.055555611965	ECDFS
60344.055555612664	ECDFS
60349.055555613246	ECDFS
60355.041666725054	ECDFS
60361.05555561464	ECDFS
60368.04166672657	ECDFS
60499.41666674186	ECDFS
60504.41666674244	ECDFS
60509.416666743025	ECDFS
60516.40277785495	ECDFS
60520.402777855415	ECDFS
60526.416666745004	ECDFS
60532.40277785681	ECDFS
60538.40277785751	ECDFS
60545.388888969435	ECDFS
60549.26388896989	ECDFS
60556.375000081825	ECDFS
60562.34722230474	ECDFS
60568.38888897211	ECDFS
60575.36111119515	ECDFS
60577.1805556398	ECDFS
60584.33333341841	ECDFS
60590.31944453022	ECDFS
60597.34722230882	ECDFS
60597.36111119771	ECDFS
60604.111111198494	ECDFS
60610.26388897699	ECDFS
60616.208333422124	ECDFS
60621.194444533816	ECDFS
60627.33333342342	ECDFS
60632.0416667573	ECDFS
60638.194444535795	ECDFS
60644.12500009204	ECDFS
60649.152777870404	ECDFS
60655.26388898223	ECDFS
60655.27777787112	ECDFS
60661.05555564957	ECDFS
60668.06944453927	ECDFS
60675.08333342898	ECDFS
60682.19444454092	ECDFS
60685.08333343014	ECDFS
60692.06944454207	ECDFS
60698.055555653875	ECDFS
60704.05555565457	ECDFS
60710.05555565527	ECDFS
60710.125000099724	ECDFS
60715.055555655854	ECDFS
60722.04166676778	ECDFS
60727.04166676836	ECDFS
